geoName,glaucoma
Alabama,22
Alaska,54
Arizona,21
Arkansas,23
California,25
Colorado,19
Connecticut,28
Delaware,100
District of Columbia,32
Florida,34
Georgia,26
Hawaii,20
Idaho,32
Illinois,19
Indiana,24
Iowa,12
Kansas,28
Kentucky,35
Louisiana,31
Maine,30
Maryland,36
Massachusetts,29
Michigan,33
Minnesota,30
Mississippi,40
Missouri,36
Montana,13
Nebraska,21
Nevada,22
New Hampshire,21
New Jersey,24
New Mexico,7
New York,27
North Carolina,17
North Dakota,49
Ohio,23
Oklahoma,37
Oregon,31
Pennsylvania,27
Rhode Island,17
South Carolina,37
South Dakota,17
Tennessee,35
Texas,27
Utah,7
Vermont,45
Virginia,24
Washington,29
West Virginia,18
Wisconsin,26
Wyoming,49
