geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,100,0,0,0
Alaska,0,0,0,100,0
Arizona,21,65,0,14,0
Arkansas,0,67,0,0,33
California,34,34,5,19,8
Colorado,13,63,12,12,0
Connecticut,34,16,16,34,0
Delaware,0,0,0,0,0
District of Columbia,40,30,0,20,10
Florida,62,15,0,9,14
Georgia,22,45,22,11,0
Hawaii,100,0,0,0,0
Idaho,100,0,0,0,0
Illinois,31,39,4,26,0
Indiana,20,30,0,50,0
Iowa,50,25,0,25,0
Kansas,50,0,0,50,0
Kentucky,50,0,0,50,0
Louisiana,50,25,0,25,0
Maine,0,100,0,0,0
Maryland,34,33,0,22,11
Massachusetts,34,33,0,22,11
Michigan,34,33,11,11,11
Minnesota,45,44,0,11,0
Mississippi,100,0,0,0,0
Missouri,86,0,0,0,14
Montana,50,0,0,50,0
Nebraska,34,33,0,33,0
Nevada,60,0,0,20,20
New Hampshire,50,0,0,0,50
New Jersey,55,17,4,8,16
New Mexico,100,0,0,0,0
New York,35,25,0,25,15
North Carolina,27,55,9,9,0
North Dakota,100,0,0,0,0
Ohio,39,31,0,23,7
Oklahoma,25,0,0,25,50
Oregon,40,20,0,40,0
Pennsylvania,35,39,4,22,0
Rhode Island,34,0,0,33,33
South Carolina,0,0,0,100,0
South Dakota,0,0,0,0,0
Tennessee,36,46,9,0,9
Texas,42,35,0,13,10
Utah,33,67,0,0,0
Vermont,0,0,0,0,0
Virginia,45,28,5,22,0
Washington,36,32,0,32,0
West Virginia,0,0,0,50,50
Wisconsin,38,37,0,25,0
Wyoming,0,0,0,0,0
