geoName,glaucoma
Alabama,46
Alaska,96
Arizona,60
Arkansas,44
California,43
Colorado,55
Connecticut,34
Delaware,62
District of Columbia,51
Florida,56
Georgia,51
Hawaii,99
Idaho,38
Illinois,63
Indiana,57
Iowa,28
Kansas,55
Kentucky,59
Louisiana,54
Maine,94
Maryland,60
Massachusetts,53
Michigan,65
Minnesota,61
Mississippi,72
Missouri,26
Montana,0
Nebraska,49
Nevada,58
New Hampshire,48
New Jersey,49
New Mexico,17
New York,47
North Carolina,47
North Dakota,77
Ohio,62
Oklahoma,55
Oregon,57
Pennsylvania,64
Rhode Island,59
South Carolina,61
South Dakota,39
Tennessee,45
Texas,60
Utah,17
Vermont,100
Virginia,50
Washington,38
West Virginia,65
Wisconsin,62
Wyoming,0
