geoName,glaucoma
Alabama,42
Alaska,91
Arizona,47
Arkansas,53
California,54
Colorado,19
Connecticut,65
Delaware,49
District of Columbia,60
Florida,57
Georgia,47
Hawaii,96
Idaho,66
Illinois,45
Indiana,49
Iowa,33
Kansas,44
Kentucky,28
Louisiana,27
Maine,53
Maryland,40
Massachusetts,59
Michigan,55
Minnesota,57
Mississippi,45
Missouri,29
Montana,84
Nebraska,37
Nevada,67
New Hampshire,28
New Jersey,50
New Mexico,60
New York,39
North Carolina,47
North Dakota,0
Ohio,54
Oklahoma,35
Oregon,24
Pennsylvania,54
Rhode Island,38
South Carolina,57
South Dakota,0
Tennessee,66
Texas,32
Utah,16
Vermont,61
Virginia,38
Washington,36
West Virginia,100
Wisconsin,33
Wyoming,0
