geoName,glaucoma
Alabama,9
Alaska,26
Arizona,23
Arkansas,14
California,22
Colorado,10
Connecticut,25
Delaware,0
District of Columbia,16
Florida,16
Georgia,6
Hawaii,15
Idaho,18
Illinois,18
Indiana,34
Iowa,20
Kansas,17
Kentucky,8
Louisiana,16
Maine,16
Maryland,4
Massachusetts,29
Michigan,38
Minnesota,17
Mississippi,0
Missouri,12
Montana,0
Nebraska,13
Nevada,31
New Hampshire,33
New Jersey,22
New Mexico,18
New York,13
North Carolina,16
North Dakota,0
Ohio,17
Oklahoma,17
Oregon,9
Pennsylvania,16
Rhode Island,16
South Carolina,32
South Dakota,30
Tennessee,21
Texas,19
Utah,25
Vermont,39
Virginia,16
Washington,14
West Virginia,100
Wisconsin,32
Wyoming,0
