geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,100,0
Alaska,100,0,0,0,0
Arizona,50,25,0,25,0
Arkansas,50,50,0,0,0
California,38,38,2,18,4
Colorado,40,40,0,20,0
Connecticut,38,25,0,37,0
Delaware,50,0,0,0,50
District of Columbia,0,25,0,50,25
Florida,58,23,5,14,0
Georgia,55,18,0,18,9
Hawaii,50,0,0,50,0
Idaho,0,0,0,0,0
Illinois,36,30,0,23,11
Indiana,0,34,0,33,33
Iowa,0,40,0,60,0
Kansas,0,33,0,67,0
Kentucky,50,25,0,25,0
Louisiana,33,0,0,67,0
Maine,0,100,0,0,0
Maryland,25,13,12,38,12
Massachusetts,45,22,0,33,0
Michigan,33,28,0,39,0
Minnesota,14,58,0,14,14
Mississippi,100,0,0,0,0
Missouri,50,0,10,20,20
Montana,100,0,0,0,0
Nebraska,33,34,0,33,0
Nevada,0,0,0,100,0
New Hampshire,0,0,0,100,0
New Jersey,67,8,0,17,8
New Mexico,67,0,0,33,0
New York,42,7,6,31,14
North Carolina,40,20,10,20,10
North Dakota,0,0,0,100,0
Ohio,57,29,14,0,0
Oklahoma,50,0,0,25,25
Oregon,67,33,0,0,0
Pennsylvania,65,12,0,18,5
Rhode Island,0,100,0,0,0
South Carolina,0,34,0,0,66
South Dakota,0,0,0,0,0
Tennessee,67,17,0,0,16
Texas,47,24,15,11,3
Utah,67,0,0,33,0
Vermont,50,0,0,50,0
Virginia,47,23,0,23,7
Washington,20,61,0,13,6
West Virginia,0,0,0,100,0
Wisconsin,43,14,0,29,14
Wyoming,0,0,0,0,0
