geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,51,24,0,25,0
Alaska,0,0,0,0,0
Arizona,51,33,0,16,0
Arkansas,0,0,0,0,0
California,32,25,3,31,9
Colorado,34,58,0,8,0
Connecticut,0,20,0,70,10
Delaware,0,33,0,34,33
District of Columbia,25,38,0,25,12
Florida,33,36,3,25,3
Georgia,28,27,9,36,0
Hawaii,0,100,0,0,0
Idaho,0,0,0,0,0
Illinois,45,33,0,22,0
Indiana,17,59,0,16,8
Iowa,0,50,0,50,0
Kansas,100,0,0,0,0
Kentucky,20,40,0,0,40
Louisiana,100,0,0,0,0
Maine,0,100,0,0,0
Maryland,0,33,34,33,0
Massachusetts,31,39,0,23,7
Michigan,29,29,14,0,28
Minnesota,0,67,0,33,0
Mississippi,0,100,0,0,0
Missouri,20,20,20,20,20
Montana,0,0,0,0,100
Nebraska,51,49,0,0,0
Nevada,100,0,0,0,0
New Hampshire,25,50,0,25,0
New Jersey,28,45,0,9,18
New Mexico,0,50,0,50,0
New York,48,23,3,20,6
North Carolina,56,11,0,33,0
North Dakota,0,100,0,0,0
Ohio,20,20,0,54,6
Oklahoma,51,49,0,0,0
Oregon,14,29,14,43,0
Pennsylvania,23,33,5,34,5
Rhode Island,0,0,0,100,0
South Carolina,13,63,0,12,12
South Dakota,0,0,0,0,0
Tennessee,44,14,0,14,28
Texas,34,24,9,29,4
Utah,25,25,0,25,25
Vermont,34,33,0,33,0
Virginia,25,50,0,25,0
Washington,38,62,0,0,0
West Virginia,0,33,0,67,0
Wisconsin,25,50,0,25,0
Wyoming,0,100,0,0,0
