geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,43,29,0,28,0
Alaska,33,0,0,67,0
Arizona,60,30,0,0,10
Arkansas,0,100,0,0,0
California,57,23,1,17,2
Colorado,38,37,0,25,0
Connecticut,17,50,0,33,0
Delaware,0,0,0,100,0
District of Columbia,58,28,0,0,14
Florida,33,35,0,32,0
Georgia,33,45,0,22,0
Hawaii,0,100,0,0,0
Idaho,100,0,0,0,0
Illinois,43,9,14,24,10
Indiana,14,58,0,14,14
Iowa,20,20,20,20,20
Kansas,40,40,0,20,0
Kentucky,40,30,10,20,0
Louisiana,0,33,0,33,34
Maine,0,67,0,0,33
Maryland,9,55,9,18,9
Massachusetts,48,22,8,18,4
Michigan,39,31,15,0,15
Minnesota,14,57,0,29,0
Mississippi,100,0,0,0,0
Missouri,0,50,0,25,25
Montana,0,0,0,0,0
Nebraska,60,20,0,20,0
Nevada,50,0,0,50,0
New Hampshire,100,0,0,0,0
New Jersey,43,34,4,19,0
New Mexico,0,80,20,0,0
New York,31,35,0,17,17
North Carolina,32,38,6,12,12
North Dakota,0,100,0,0,0
Ohio,48,41,6,5,0
Oklahoma,58,14,0,28,0
Oregon,58,14,0,14,14
Pennsylvania,38,33,0,21,8
Rhode Island,0,100,0,0,0
South Carolina,40,20,0,40,0
South Dakota,50,0,0,50,0
Tennessee,38,12,0,12,38
Texas,62,23,0,7,8
Utah,100,0,0,0,0
Vermont,0,50,0,50,0
Virginia,34,20,0,33,13
Washington,51,21,7,21,0
West Virginia,0,0,0,0,0
Wisconsin,29,57,0,14,0
Wyoming,0,100,0,0,0
