geoName,glaucoma
Alabama,44
Alaska,45
Arizona,57
Arkansas,21
California,36
Colorado,26
Connecticut,42
Delaware,45
District of Columbia,21
Florida,44
Georgia,40
Hawaii,35
Idaho,14
Illinois,45
Indiana,41
Iowa,52
Kansas,34
Kentucky,74
Louisiana,44
Maine,14
Maryland,23
Massachusetts,47
Michigan,40
Minnesota,33
Mississippi,21
Missouri,25
Montana,69
Nebraska,10
Nevada,52
New Hampshire,71
New Jersey,32
New Mexico,74
New York,41
North Carolina,57
North Dakota,84
Ohio,37
Oklahoma,31
Oregon,21
Pennsylvania,51
Rhode Island,43
South Carolina,29
South Dakota,29
Tennessee,36
Texas,34
Utah,49
Vermont,100
Virginia,25
Washington,32
West Virginia,0
Wisconsin,43
Wyoming,0
