geoName,glaucoma
Alabama,17
Alaska,24
Arizona,21
Arkansas,12
California,30
Colorado,20
Connecticut,14
Delaware,0
District of Columbia,30
Florida,25
Georgia,19
Hawaii,0
Idaho,78
Illinois,35
Indiana,36
Iowa,23
Kansas,51
Kentucky,30
Louisiana,25
Maine,0
Maryland,25
Massachusetts,25
Michigan,12
Minnesota,20
Mississippi,23
Missouri,34
Montana,26
Nebraska,11
Nevada,31
New Hampshire,74
New Jersey,42
New Mexico,39
New York,32
North Carolina,25
North Dakota,100
Ohio,31
Oklahoma,15
Oregon,20
Pennsylvania,43
Rhode Island,0
South Carolina,43
South Dakota,33
Tennessee,40
Texas,26
Utah,35
Vermont,29
Virginia,25
Washington,27
West Virginia,18
Wisconsin,25
Wyoming,0
