geoName,glaucoma
Alabama,25
Alaska,26
Arizona,21
Arkansas,17
California,26
Colorado,18
Connecticut,17
Delaware,0
District of Columbia,37
Florida,35
Georgia,21
Hawaii,30
Idaho,20
Illinois,31
Indiana,31
Iowa,26
Kansas,55
Kentucky,30
Louisiana,16
Maine,0
Maryland,13
Massachusetts,39
Michigan,25
Minnesota,40
Mississippi,0
Missouri,31
Montana,81
Nebraska,15
Nevada,10
New Hampshire,100
New Jersey,22
New Mexico,44
New York,25
North Carolina,60
North Dakota,39
Ohio,28
Oklahoma,56
Oregon,39
Pennsylvania,23
Rhode Island,17
South Carolina,35
South Dakota,82
Tennessee,36
Texas,28
Utah,21
Vermont,29
Virginia,25
Washington,17
West Virginia,0
Wisconsin,27
Wyoming,0
