geoName,glaucoma
Alabama,20
Alaska,57
Arizona,38
Arkansas,19
California,30
Colorado,34
Connecticut,52
Delaware,82
District of Columbia,37
Florida,42
Georgia,27
Hawaii,42
Idaho,51
Illinois,40
Indiana,49
Iowa,36
Kansas,46
Kentucky,35
Louisiana,22
Maine,39
Maryland,28
Massachusetts,35
Michigan,57
Minnesota,33
Mississippi,36
Missouri,28
Montana,21
Nebraska,22
Nevada,12
New Hampshire,32
New Jersey,53
New Mexico,43
New York,37
North Carolina,37
North Dakota,0
Ohio,38
Oklahoma,42
Oregon,35
Pennsylvania,44
Rhode Island,26
South Carolina,18
South Dakota,25
Tennessee,42
Texas,35
Utah,22
Vermont,22
Virginia,24
Washington,27
West Virginia,100
Wisconsin,20
Wyoming,0
