geoName,glaucoma
Alabama,16
Alaska,0
Arizona,16
Arkansas,43
California,10
Colorado,6
Connecticut,15
Delaware,0
District of Columbia,12
Florida,13
Georgia,21
Hawaii,57
Idaho,0
Illinois,10
Indiana,18
Iowa,0
Kansas,9
Kentucky,17
Louisiana,15
Maine,0
Maryland,8
Massachusetts,15
Michigan,6
Minnesota,14
Mississippi,15
Missouri,9
Montana,0
Nebraska,14
Nevada,27
New Hampshire,0
New Jersey,16
New Mexico,36
New York,13
North Carolina,18
North Dakota,45
Ohio,7
Oklahoma,9
Oregon,10
Pennsylvania,19
Rhode Island,0
South Carolina,8
South Dakota,34
Tennessee,16
Texas,11
Utah,0
Vermont,42
Virginia,10
Washington,9
West Virginia,0
Wisconsin,13
Wyoming,100
