geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,50,0,50,0
Alaska,0,0,0,0,0
Arizona,56,33,0,11,0
Arkansas,0,100,0,0,0
California,48,27,2,20,3
Colorado,41,49,0,10,0
Connecticut,76,24,0,0,0
Delaware,0,0,0,100,0
District of Columbia,51,0,0,25,24
Florida,29,39,0,29,3
Georgia,25,45,0,25,5
Hawaii,0,0,0,0,0
Idaho,51,0,0,0,49
Illinois,63,22,0,15,0
Indiana,25,25,0,50,0
Iowa,34,33,0,0,33
Kansas,68,32,0,0,0
Kentucky,51,16,0,17,16
Louisiana,51,49,0,0,0
Maine,0,0,0,0,0
Maryland,61,10,10,0,19
Massachusetts,41,34,0,25,0
Michigan,9,36,10,36,9
Minnesota,34,16,0,34,16
Mississippi,34,33,0,33,0
Missouri,0,33,0,51,16
Montana,0,0,0,0,0
Nebraska,61,0,0,39,0
Nevada,0,100,0,0,0
New Hampshire,76,0,0,24,0
New Jersey,45,33,0,22,0
New Mexico,0,0,0,0,0
New York,51,22,9,16,2
North Carolina,51,28,0,14,7
North Dakota,0,50,0,50,0
Ohio,9,36,0,37,18
Oklahoma,44,28,0,28,0
Oregon,34,33,0,22,11
Pennsylvania,38,31,0,19,12
Rhode Island,34,33,0,33,0
South Carolina,25,25,0,38,12
South Dakota,0,0,0,0,0
Tennessee,29,14,15,42,0
Texas,37,30,6,27,0
Utah,17,83,0,0,0
Vermont,0,0,0,0,0
Virginia,54,26,0,20,0
Washington,34,33,0,17,16
West Virginia,0,0,0,0,0
Wisconsin,11,45,0,33,11
Wyoming,0,0,0,0,0
