geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,0,0,100,0
Alaska,100,0,0,0,0
Arizona,40,20,0,20,20
Arkansas,19,20,21,40,0
California,37,26,7,26,4
Colorado,25,37,0,38,0
Connecticut,70,0,0,20,10
Delaware,100,0,0,0,0
District of Columbia,20,40,0,20,20
Florida,48,28,0,20,4
Georgia,26,27,7,27,13
Hawaii,60,20,0,20,0
Idaho,0,100,0,0,0
Illinois,43,34,0,9,14
Indiana,56,22,0,22,0
Iowa,100,0,0,0,0
Kansas,39,20,21,20,0
Kentucky,100,0,0,0,0
Louisiana,25,25,0,25,25
Maine,25,25,0,50,0
Maryland,25,25,0,42,8
Massachusetts,37,44,0,19,0
Michigan,47,27,0,20,6
Minnesota,43,14,0,43,0
Mississippi,100,0,0,0,0
Missouri,39,46,0,15,0
Montana,100,0,0,0,0
Nebraska,0,0,0,100,0
Nevada,33,33,0,34,0
New Hampshire,100,0,0,0,0
New Jersey,62,19,0,5,14
New Mexico,0,100,0,0,0
New York,41,33,0,15,11
North Carolina,46,47,0,7,0
North Dakota,0,0,0,0,0
Ohio,50,25,0,17,8
Oklahoma,0,0,0,100,0
Oregon,31,39,0,23,7
Pennsylvania,46,21,0,21,12
Rhode Island,0,0,0,0,0
South Carolina,60,40,0,0,0
South Dakota,0,100,0,0,0
Tennessee,65,0,35,0,0
Texas,48,20,4,24,4
Utah,16,67,0,17,0
Vermont,0,0,0,0,100
Virginia,63,0,0,12,25
Washington,59,25,0,8,8
West Virginia,33,33,0,34,0
Wisconsin,0,0,26,74,0
Wyoming,0,0,0,0,0
