geoName,glaucoma
Alabama,20
Alaska,32
Arizona,17
Arkansas,0
California,23
Colorado,13
Connecticut,44
Delaware,0
District of Columbia,28
Florida,31
Georgia,27
Hawaii,0
Idaho,0
Illinois,27
Indiana,0
Iowa,79
Kansas,21
Kentucky,9
Louisiana,17
Maine,0
Maryland,36
Massachusetts,20
Michigan,25
Minnesota,22
Mississippi,19
Missouri,22
Montana,0
Nebraska,0
Nevada,12
New Hampshire,77
New Jersey,22
New Mexico,49
New York,27
North Carolina,18
North Dakota,100
Ohio,35
Oklahoma,0
Oregon,32
Pennsylvania,33
Rhode Island,21
South Carolina,10
South Dakota,34
Tennessee,6
Texas,22
Utah,0
Vermont,36
Virginia,20
Washington,19
West Virginia,44
Wisconsin,16
Wyoming,0
