geoName,glaucoma
Alabama,24
Alaska,76
Arizona,20
Arkansas,65
California,31
Colorado,19
Connecticut,55
Delaware,0
District of Columbia,27
Florida,47
Georgia,43
Hawaii,72
Idaho,0
Illinois,47
Indiana,59
Iowa,33
Kansas,27
Kentucky,0
Louisiana,80
Maine,24
Maryland,24
Massachusetts,45
Michigan,38
Minnesota,5
Mississippi,23
Missouri,38
Montana,0
Nebraska,41
Nevada,57
New Hampshire,25
New Jersey,20
New Mexico,0
New York,30
North Carolina,45
North Dakota,0
Ohio,50
Oklahoma,66
Oregon,31
Pennsylvania,34
Rhode Island,49
South Carolina,35
South Dakota,0
Tennessee,8
Texas,36
Utah,0
Vermont,56
Virginia,25
Washington,34
West Virginia,100
Wisconsin,19
Wyoming,0
