geoName,glaucoma
Alabama,52
Alaska,100
Arizona,52
Arkansas,12
California,46
Colorado,44
Connecticut,59
Delaware,25
District of Columbia,49
Florida,43
Georgia,36
Hawaii,53
Idaho,60
Illinois,42
Indiana,32
Iowa,48
Kansas,48
Kentucky,43
Louisiana,41
Maine,76
Maryland,62
Massachusetts,42
Michigan,40
Minnesota,49
Mississippi,48
Missouri,46
Montana,25
Nebraska,15
Nevada,72
New Hampshire,54
New Jersey,59
New Mexico,42
New York,46
North Carolina,47
North Dakota,0
Ohio,45
Oklahoma,38
Oregon,49
Pennsylvania,46
Rhode Island,49
South Carolina,44
South Dakota,64
Tennessee,61
Texas,38
Utah,20
Vermont,28
Virginia,26
Washington,25
West Virginia,73
Wisconsin,33
Wyoming,0
