geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,50,0,0,50,0
Alaska,0,0,0,100,0
Arizona,0,86,14,0,0
Arkansas,50,0,0,50,0
California,48,29,0,21,2
Colorado,43,43,0,14,0
Connecticut,67,0,0,33,0
Delaware,67,33,0,0,0
District of Columbia,67,17,0,16,0
Florida,22,45,5,23,5
Georgia,60,10,0,20,10
Hawaii,0,0,0,0,0
Idaho,0,0,0,0,0
Illinois,45,22,0,22,11
Indiana,55,0,9,27,9
Iowa,20,60,0,20,0
Kansas,100,0,0,0,0
Kentucky,0,0,0,100,0
Louisiana,100,0,0,0,0
Maine,0,100,0,0,0
Maryland,67,22,0,11,0
Massachusetts,23,39,0,38,0
Michigan,45,22,0,33,0
Minnesota,50,0,0,50,0
Mississippi,0,100,0,0,0
Missouri,45,22,11,11,11
Montana,33,34,0,33,0
Nebraska,43,29,0,28,0
Nevada,50,50,0,0,0
New Hampshire,0,0,25,50,25
New Jersey,20,33,0,27,20
New Mexico,20,20,20,20,20
New York,55,12,4,21,8
North Carolina,75,25,0,0,0
North Dakota,0,100,0,0,0
Ohio,0,25,16,42,17
Oklahoma,100,0,0,0,0
Oregon,57,29,0,14,0
Pennsylvania,50,25,0,25,0
Rhode Island,100,0,0,0,0
South Carolina,50,0,0,50,0
South Dakota,100,0,0,0,0
Tennessee,50,17,0,17,16
Texas,42,38,8,8,4
Utah,0,0,0,100,0
Vermont,100,0,0,0,0
Virginia,36,18,0,37,9
Washington,67,8,8,17,0
West Virginia,0,0,0,0,0
Wisconsin,29,43,0,28,0
Wyoming,0,0,0,0,0
