geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,50,0,25,25
Alaska,25,50,0,25,0
Arizona,29,57,0,14,0
Arkansas,0,50,0,0,50
California,41,30,6,22,1
Colorado,36,35,12,17,0
Connecticut,60,20,20,0,0
Delaware,0,0,0,0,0
District of Columbia,39,31,0,23,7
Florida,37,37,0,20,6
Georgia,40,60,0,0,0
Hawaii,0,0,0,75,25
Idaho,50,50,0,0,0
Illinois,43,26,5,16,10
Indiana,0,67,0,33,0
Iowa,34,33,0,33,0
Kansas,100,0,0,0,0
Kentucky,67,33,0,0,0
Louisiana,51,16,0,33,0
Maine,0,0,0,0,0
Maryland,36,32,4,24,4
Massachusetts,57,25,0,12,6
Michigan,20,10,10,50,10
Minnesota,51,12,0,37,0
Mississippi,0,100,0,0,0
Missouri,40,20,0,40,0
Montana,100,0,0,0,0
Nebraska,0,50,0,0,50
Nevada,0,0,0,0,0
New Hampshire,0,67,33,0,0
New Jersey,24,54,0,15,7
New Mexico,100,0,0,0,0
New York,39,27,0,27,7
North Carolina,20,50,0,20,10
North Dakota,0,100,0,0,0
Ohio,50,20,0,20,10
Oklahoma,75,0,0,25,0
Oregon,50,25,0,0,25
Pennsylvania,35,31,11,23,0
Rhode Island,0,50,0,50,0
South Carolina,67,33,0,0,0
South Dakota,100,0,0,0,0
Tennessee,17,34,0,33,16
Texas,32,45,0,15,8
Utah,0,50,0,50,0
Vermont,0,0,0,0,0
Virginia,37,42,0,16,5
Washington,14,50,7,22,7
West Virginia,0,100,0,0,0
Wisconsin,40,40,0,20,0
Wyoming,0,0,0,0,0
