geoName,glaucoma
Alabama,42
Alaska,24
Arizona,39
Arkansas,10
California,34
Colorado,36
Connecticut,27
Delaware,24
District of Columbia,22
Florida,39
Georgia,34
Hawaii,72
Idaho,15
Illinois,37
Indiana,16
Iowa,43
Kansas,37
Kentucky,36
Louisiana,13
Maine,100
Maryland,28
Massachusetts,35
Michigan,16
Minnesota,30
Mississippi,23
Missouri,30
Montana,0
Nebraska,33
Nevada,45
New Hampshire,36
New Jersey,36
New Mexico,26
New York,29
North Carolina,16
North Dakota,0
Ohio,39
Oklahoma,29
Oregon,18
Pennsylvania,30
Rhode Island,16
South Carolina,22
South Dakota,0
Tennessee,29
Texas,27
Utah,33
Vermont,28
Virginia,36
Washington,40
West Virginia,35
Wisconsin,34
Wyoming,0
