geoName,glaucoma
Alabama,22
Alaska,0
Arizona,9
Arkansas,0
California,19
Colorado,39
Connecticut,60
Delaware,52
District of Columbia,44
Florida,26
Georgia,25
Hawaii,40
Idaho,28
Illinois,23
Indiana,15
Iowa,18
Kansas,12
Kentucky,31
Louisiana,20
Maine,21
Maryland,26
Massachusetts,20
Michigan,24
Minnesota,33
Mississippi,21
Missouri,29
Montana,100
Nebraska,19
Nevada,0
New Hampshire,0
New Jersey,18
New Mexico,26
New York,27
North Carolina,26
North Dakota,60
Ohio,25
Oklahoma,12
Oregon,26
Pennsylvania,27
Rhode Island,23
South Carolina,22
South Dakota,0
Tennessee,14
Texas,25
Utah,12
Vermont,0
Virginia,24
Washington,26
West Virginia,0
Wisconsin,17
Wyoming,0
