geoName,glaucoma
Alabama,59
Alaska,40
Arizona,65
Arkansas,72
California,51
Colorado,76
Connecticut,82
Delaware,78
District of Columbia,34
Florida,68
Georgia,56
Hawaii,22
Idaho,100
Illinois,59
Indiana,37
Iowa,46
Kansas,60
Kentucky,39
Louisiana,30
Maine,97
Maryland,92
Massachusetts,54
Michigan,51
Minnesota,58
Mississippi,80
Missouri,56
Montana,39
Nebraska,80
Nevada,56
New Hampshire,41
New Jersey,68
New Mexico,66
New York,52
North Carolina,74
North Dakota,48
Ohio,50
Oklahoma,61
Oregon,53
Pennsylvania,63
Rhode Island,53
South Carolina,93
South Dakota,46
Tennessee,48
Texas,49
Utah,23
Vermont,89
Virginia,69
Washington,49
West Virginia,93
Wisconsin,41
Wyoming,80
