geoName,glaucoma
Alabama,31
Alaska,42
Arizona,56
Arkansas,27
California,39
Colorado,32
Connecticut,69
Delaware,19
District of Columbia,45
Florida,44
Georgia,33
Hawaii,17
Idaho,36
Illinois,48
Indiana,37
Iowa,25
Kansas,46
Kentucky,32
Louisiana,18
Maine,24
Maryland,47
Massachusetts,52
Michigan,38
Minnesota,34
Mississippi,37
Missouri,52
Montana,20
Nebraska,52
Nevada,27
New Hampshire,41
New Jersey,36
New Mexico,63
New York,42
North Carolina,36
North Dakota,23
Ohio,57
Oklahoma,40
Oregon,29
Pennsylvania,46
Rhode Island,52
South Carolina,22
South Dakota,100
Tennessee,65
Texas,37
Utah,20
Vermont,0
Virginia,56
Washington,32
West Virginia,25
Wisconsin,48
Wyoming,38
