geoName,glaucoma
Alabama,37
Alaska,0
Arizona,37
Arkansas,46
California,23
Colorado,22
Connecticut,9
Delaware,0
District of Columbia,16
Florida,34
Georgia,30
Hawaii,0
Idaho,0
Illinois,26
Indiana,39
Iowa,22
Kansas,14
Kentucky,12
Louisiana,34
Maine,0
Maryland,20
Massachusetts,53
Michigan,36
Minnesota,35
Mississippi,0
Missouri,29
Montana,0
Nebraska,23
Nevada,15
New Hampshire,27
New Jersey,35
New Mexico,62
New York,17
North Carolina,28
North Dakota,0
Ohio,33
Oklahoma,14
Oregon,52
Pennsylvania,27
Rhode Island,31
South Carolina,26
South Dakota,97
Tennessee,65
Texas,29
Utah,15
Vermont,0
Virginia,24
Washington,42
West Virginia,61
Wisconsin,100
Wyoming,0
