geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,0,100,0,0,0
Alaska,0,100,0,0,0
Arizona,0,0,0,100,0
Arkansas,0,0,0,0,0
California,42,17,5,31,5
Colorado,75,0,0,25,0
Connecticut,0,100,0,0,0
Delaware,0,0,0,0,0
District of Columbia,0,100,0,0,0
Florida,45,33,0,11,11
Georgia,45,33,0,22,0
Hawaii,50,0,0,50,0
Idaho,0,0,0,0,0
Illinois,43,29,0,14,14
Indiana,80,0,0,20,0
Iowa,100,0,0,0,0
Kansas,50,50,0,0,0
Kentucky,50,0,0,25,25
Louisiana,0,100,0,0,0
Maine,0,50,0,50,0
Maryland,33,67,0,0,0
Massachusetts,34,17,0,33,16
Michigan,0,67,0,33,0
Minnesota,0,0,0,0,0
Mississippi,0,100,0,0,0
Missouri,20,40,0,20,20
Montana,0,100,0,0,0
Nebraska,0,0,0,0,0
Nevada,0,0,0,100,0
New Hampshire,100,0,0,0,0
New Jersey,25,42,0,16,17
New Mexico,0,0,0,0,0
New York,29,24,0,38,9
North Carolina,0,50,0,50,0
North Dakota,0,0,0,0,0
Ohio,20,30,10,20,20
Oklahoma,0,0,0,0,0
Oregon,20,60,20,0,0
Pennsylvania,47,14,6,27,6
Rhode Island,0,0,0,100,0
South Carolina,100,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,60,20,0,20,0
Texas,45,16,0,28,11
Utah,0,0,0,0,0
Vermont,0,0,0,0,0
Virginia,34,0,0,50,16
Washington,34,45,0,16,5
West Virginia,0,100,0,0,0
Wisconsin,34,22,0,33,11
Wyoming,100,0,0,0,0
