geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,20,40,20,20,0
Alaska,0,0,0,0,0
Arizona,26,37,0,37,0
Arkansas,34,33,33,0,0
California,35,30,2,22,11
Colorado,51,25,0,24,0
Connecticut,41,20,0,20,19
Delaware,0,0,0,0,0
District of Columbia,41,59,0,0,0
Florida,42,41,0,13,4
Georgia,46,22,10,11,11
Hawaii,100,0,0,0,0
Idaho,0,100,0,0,0
Illinois,27,10,5,48,10
Indiana,0,40,20,40,0
Iowa,0,25,0,50,25
Kansas,0,0,0,100,0
Kentucky,41,20,0,39,0
Louisiana,0,50,0,50,0
Maine,0,0,0,0,0
Maryland,34,33,0,33,0
Massachusetts,51,13,12,12,12
Michigan,29,29,14,28,0
Minnesota,0,51,0,33,16
Mississippi,100,0,0,0,0
Missouri,26,37,12,25,0
Montana,100,0,0,0,0
Nebraska,34,33,0,33,0
Nevada,51,25,0,0,24
New Hampshire,0,0,0,100,0
New Jersey,24,15,0,54,7
New Mexico,20,40,0,40,0
New York,28,38,0,17,17
North Carolina,25,50,0,25,0
North Dakota,0,0,0,0,0
Ohio,35,8,16,16,25
Oklahoma,100,0,0,0,0
Oregon,64,12,0,12,12
Pennsylvania,31,26,4,26,13
Rhode Island,0,0,0,0,0
South Carolina,51,49,0,0,0
South Dakota,0,50,0,50,0
Tennessee,51,0,0,0,49
Texas,43,27,0,30,0
Utah,20,20,0,40,20
Vermont,0,0,0,0,0
Virginia,8,51,8,25,8
Washington,51,25,0,24,0
West Virginia,0,0,0,100,0
Wisconsin,38,37,0,25,0
Wyoming,0,0,0,0,0
