geoName,glaucoma
Alabama,46
Alaska,38
Arizona,64
Arkansas,52
California,54
Colorado,52
Connecticut,40
Delaware,36
District of Columbia,65
Florida,45
Georgia,48
Hawaii,19
Idaho,23
Illinois,52
Indiana,35
Iowa,60
Kansas,24
Kentucky,37
Louisiana,15
Maine,0
Maryland,62
Massachusetts,58
Michigan,51
Minnesota,44
Mississippi,67
Missouri,34
Montana,0
Nebraska,90
Nevada,80
New Hampshire,18
New Jersey,58
New Mexico,20
New York,55
North Carolina,69
North Dakota,48
Ohio,37
Oklahoma,57
Oregon,34
Pennsylvania,71
Rhode Island,24
South Carolina,54
South Dakota,100
Tennessee,49
Texas,53
Utah,52
Vermont,81
Virginia,62
Washington,49
West Virginia,26
Wisconsin,55
Wyoming,74
